origin,destination,index
1,3,0,
3,1,1,
1,7,2,
7,1,3,
1,9,4,
9,1,5,
2,3,6,
3,2,7,
3,6,8,
6,3,9,
3,7,10,
7,3,11,
4,6,12,
6,4,13,
4,8,14,
8,4,16,
5,10,17,
10,5,15,
5,11,18,
11,5,19,
6,8,20,
8,6,21,
6,13,22,
13,6,23,
6,17,24,
17,6,25,
7,9,26,
9,7,27,
7,13,28,
13,7,29,
8,11,30,
11,8,31,
8,16,32,
16,8,33,
9,12,34,
12,9,35,
9,13,36,
13,9,37,
10,11,38,
11,10,39,
10,18,40,
18,10,41,
10,20,42,
20,10,43,
11,19,44,
19,11,46,
13,14,47,
14,13,45,
13,15,48,
15,13,50,
14,17,51,
17,14,49,
14,22,52,
22,14,53,
16,17,54,
17,16,56,
16,19,57,
19,16,55,
16,22,58,
22,16,59,
17,22,60,
22,17,61,
18,19,62,
19,18,63,
18,21,64,
21,18,65,
19,22,66,
22,19,68,
20,21,69,
21,20,67,
20,30,70,
30,20,71,
20,58,72,
58,20,73,
21,22,74,
22,21,75,
21,23,76,
23,21,77,
22,23,78,
23,22,79,
22,25,80,
25,22,81,
22,28,82,
28,22,83,
22,29,84,
29,22,85,
22,40,86,
40,22,87,
23,24,88,
24,23,89,
23,31,90,
31,23,91,
24,25,92,
25,24,93,
24,26,94,
26,24,95,
24,33,96,
33,24,97,
25,26,98,
26,25,99,
26,27,100,
27,26,101,
26,28,102,
28,26,103,
27,28,104,
28,27,105,
27,33,106,
33,27,107,
27,35,108,
35,27,109,
28,37,110,
37,28,111,
29,41,112,
41,29,113,
29,49,114,
49,29,115,
30,31,116,
31,30,117,
30,60,118,
60,30,119,
31,32,120,
32,31,121,
31,60,122,
60,31,123,
32,33,124,
33,32,125,
32,34,126,
34,32,127,
32,60,128,
60,32,129,
33,34,130,
34,33,131,
34,35,132,
35,34,133,
34,60,134,
60,34,135,
35,36,136,
36,35,137,
35,71,138,
71,35,139,
36,43,140,
43,36,141,
36,44,142,
44,36,143,
36,71,144,
71,36,145,
37,38,146,
38,37,147,
37,42,148,
42,37,149,
38,39,150,
39,38,151,
38,42,152,
42,38,153,
39,40,154,
40,39,155,
39,48,156,
48,39,157,
40,41,158,
41,40,159,
40,48,160,
48,40,161,
41,49,162,
49,41,163,
42,43,164,
43,42,165,
42,45,166,
45,42,167,
43,44,168,
44,43,169,
43,45,170,
45,43,171,
44,46,172,
46,44,173,
44,54,174,
54,44,175,
45,46,176,
46,45,177,
45,47,178,
47,45,179,
46,47,180,
47,46,181,
46,54,182,
54,46,183,
47,48,184,
48,47,185,
47,74,186,
74,47,187,
48,49,188,
49,48,189,
48,51,190,
51,48,191,
48,52,192,
52,48,193,
48,53,194,
53,48,195,
48,54,196,
54,48,197,
48,74,198,
74,48,199,
49,50,200,
50,49,201,
49,73,201,
73,49,203,
50,51,204,
51,50,205,
50,73,206,
73,50,207,
51,52,208,
52,51,209,
52,53,210,
53,52,211,
53,54,212,
54,53,213,
55,57,214,
57,55,215,
56,57,216,
57,56,217,
57,58,218,
58,57,219,
57,59,220,
59,57,221,
58,59,222,
59,58,223,
59,60,224,
60,59,225,
59,72,226,
72,59,227,
60,61,228,
61,60,229,
60,63,230,
63,60,231,
60,65,232,
65,60,233,
60,67,234,
67,60,235,
60,69,236,
69,60,237,
60,71,238,
71,60,239,
60,72,240,
72,60,241,
62,63,242,
63,62,243,
63,65,244,
65,63,245,
64,65,246,
65,64,247,
65,66,248,
66,65,249,
67,68,250,
68,67,251,
67,69,252,
69,67,253,
69,70,254,
70,69,255,
69,71,256,
71,69,257,
