From        to        Volume_Capacity
1        2        4967.280000000004
1        3        7874.959999999993
2        1        4993.520000000008
2        6        4801.600000000005
3        1        7848.719999999998
3        4        12657.759999999987
3        12        9536.639999999992
4        3        12703.439999999991
4        5        15148.639999999996
4        11        4018.8000000000006
5        4        15304.639999999998
5        6        5929.360000000001
5        9        12982.240000000014
6        2        4827.839999999995
6        5        5902.7999999999965
6        8        10240.799999999994
7        8        10172.319999999998
7        18        13254.240000000018
8        6        10240.480000000005
8        7        10135.600000000008
8        9        5785.680000000003
8        16        6705.360000000001
9        5        13164.800000000008
9        8        5716.400000000001
9        10        17507.039999999994
10        9        17700.319999999996
10        11        14105.520000000008
10        15        18942.95999999999
10        16        8859.840000000004
10        17        6479.920000000008
11        4        3988.479999999996
11        10        14136.560000000005
11        12        6717.200000000003
11        14        7378.320000000012
12        3        9464.719999999994
12        11        6793.359999999998
12        13        11556.319999999996
13        12        11640.55999999999
13        24        8408.399999999996
14        11        7382.880000000001
14        15        6802.240000000013
14        23        6129.680000000008
15        10        19056.16
15        14        6862.320000000005
15        19        14759.920000000011
15        22        13775.839999999987
16        8        6737.599999999997
16        10        8828.79999999999
16        17        8895.679999999997
16        18        14194.319999999998
17        10        6480.0
17        16        8931.03999999998
17        19        7320.080000000002
18        7        13290.960000000005
18        16        14160.159999999996
18        20        16647.519999999982
19        15        14825.760000000011
19        17        7355.519999999999
19        20        6604.320000000001
20        18        16570.07999999999
20        19        6705.5999999999885
20        21        5083.680000000003
20        22        5612.959999999999
21        20        5017.84
21        22        6779.919999999999
21        24        8319.44000000001
22        15        13803.279999999982
22        20        5622.639999999992
22        21        6767.519999999996
22        23        7400.959999999999
23        14        6074.1599999999935
23        22        7425.680000000002
23        24        5775.280000000003
24        13        8412.64
24        21        8266.000000000007
24        23        5744.479999999995
