<NUMBER OF ZONES> 74
<TOTAL OD FLOW> 0.0
<END OF METADATA>


Origin  1  
1 :      0.0;    2 :      88.411859;    
3 :      184.950189;    4 :      0.000000;    5 :      0.000000;    
6 :      212.922545;    7 :      959.296978;    8 :      0.000000;    
9 :      0.000000;    10 :      230.839219;    11 :      0.000000;    
12 :      31.390931;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      69.628145;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      1.217228;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      1.161398;    58 :      1.177771;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  2  
2 :      0.0;    1 :      8.249663;    3 :      8.418925;    4 :      0.000000;    
5 :      0.000000;    6 :      101.790971;    7 :      7.622096;    
8 :      0.000000;    9 :      0.000000;    10 :      435.128410;    
11 :      0.000000;    12 :      0.000000;    13 :      49.087978;    
14 :      0.000000;    15 :      0.000000;    16 :      40.237184;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      23.570381;    21 :      63.172368;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      2.871634;    55 :      0.000000;    
56 :      0.000000;    57 :      11.328665;    58 :      12.950582;    
59 :      19.195303;    60 :      0.000000;    61 :      7.704662;    
62 :      0.503165;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      6.763844;    
68 :      0.000000;    69 :      17.057595;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
