Origin,Destination,probability,length (miles),free-flow travel time (hours),route
1,2,0.999999999999,21.4859224261,0.294838890801,1->2
1,3,0.0935616180702,31.5632632216,0.431402978846,1->2->3
1,3,0.906438381931,32.0256277388,0.437602991391,1->3
1,4,0.613424124914,59.1205377245,0.807186433505,1->2->4
1,4,0.12455998834,64.9412933322,0.895837595177,1->2->3->5->4
1,4,0.262015886752,65.4036578495,0.902037607722,1->3->5->4
1,5,0.186880897218,47.7786990164,0.657581004684,1->2->3->5
1,5,0.72728974089,48.2410635336,0.663781017228,1->3->5
1,5,0.0858293618916,55.1228639033,0.783974204077,1->2->3->6->5
1,6,0.154930694768,44.441169276,0.619180615749,1->2->3->6
1,6,0.734041375564,44.9035337933,0.625380628294,1->3->6
1,6,0.111027929669,58.5495523615,0.824366058429,1->2->3->5->6
1,7,0.125199028332,60.2870573329,0.836304348851,1->2->3->5->7
1,7,0.655003790437,60.7494218502,0.842504361395,1->3->5->7
1,7,0.219797181229,60.9490863596,0.865022018813,1->2->3->6->7
1,8,0.360998306082,74.2071874602,1.02348406865,1->2->3->5->7->8
1,8,0.386644132543,74.6695519775,1.02968408119,1->3->5->7->8
1,8,0.252357561372,74.8692164869,1.05220173861,1->2->3->6->7->8
2,1,1.0,22.835286214,0.314893977444,2->1
2,3,0.999999999997,10.0773407954,0.136564088046,2->3
2,4,0.871149435541,37.6346152983,0.512347542704,2->4
2,4,0.0801314876619,43.4553709061,0.600998704377,2->3->5->4
2,4,0.0487190768259,50.799535793,0.72739190377,2->3->6->5->4
2,5,0.768659024901,26.2927765902,0.362742113883,2->3->5
2,5,0.231340975096,33.6369414772,0.489135313277,2->3->6->5
2,6,0.999999999998,22.9552468499,0.324341724949,2->3->6
2,7,0.137892105565,38.8011349068,0.54146545805,2->3->5->7
2,7,0.428081827397,39.4631639335,0.570183128012,2->3->6->7
2,7,0.434026067036,46.1452997937,0.667858657444,2->3->6->5->7
2,8,0.302163233052,52.7212650341,0.728645177849,2->3->5->7->8
2,8,0.473971968527,53.3832940608,0.757362847811,2->3->6->7->8
2,8,0.223864798419,60.065429921,0.855038377243,2->3->6->5->7->8
3,1,0.720996611384,32.7038923034,0.446230232158,3->1
3,1,0.279003388616,34.8133991443,0.477847499881,3->2->1
3,2,0.999999999998,11.9781129302,0.162953522437,3->2
3,4,0.439823135548,33.3780301107,0.464434616331,3->5->4
3,4,0.212281814303,40.7221949976,0.590827815725,3->6->5->4
3,4,0.347895050148,49.6127282286,0.675301065141,3->2->4
3,5,0.761063775911,16.2154357948,0.226178025837,3->5
3,5,0.238936224093,23.5596006817,0.352571225231,3->6->5
3,6,1.0,12.8779060544,0.187777636903,3->6
3,7,0.301280257457,28.7237941113,0.404901370005,3->5->7
3,7,0.636299301613,29.385823138,0.433619039966,3->6->7
3,7,0.0624204409371,36.0679589983,0.531294569398,3->6->5->7
3,8,0.354519493172,42.6439242387,0.592081089804,3->5->7->8
3,8,0.451804893498,43.3059532654,0.620798759765,3->6->7->8
3,8,0.193675613328,49.9880891256,0.718474289197,3->6->5->7->8
4,1,0.654554410176,61.5026974244,0.843329730196,4->2->1
4,1,0.218299825681,66.4372015781,0.915019634446,4->5->3->1
4,1,0.127145764146,68.546708419,0.94663690217,4->5->3->2->1
4,2,0.86862414013,38.6674112104,0.528435752752,4->2
4,2,0.0725437977653,45.711422205,0.631742924726,4->5->3->2
4,2,0.0588320621366,52.6235878087,0.756009115843,4->5->6->3->2
4,3,0.406730400907,33.7333092747,0.468789402289,4->5->3
4,3,0.222360534898,40.6454748784,0.593055593406,4->5->6->3
4,3,0.370909064194,48.7447520058,0.664999840797,4->2->3
4,5,0.999999999998,16.9371950325,0.232767421279,4->5
4,6,0.999999999998,27.7080483777,0.399552475025,4->5->6
4,7,0.572467715566,29.4455533491,0.411490765446,4->5->7
4,7,0.427532284433,38.6299676038,0.5225601354,4->8->7
4,8,1.00000000005,24.4353145579,0.33000860465,4->8
5,1,0.52522984267,49.5000065456,0.682252213167,5->3->1
5,1,0.215843326996,51.6095133865,0.713869480891,5->3->2->1
5,1,0.258926830333,56.4121721493,0.806518404285,5->6->3->1
5,2,0.651615861091,28.7742271724,0.398975503447,5->3->2
5,2,0.348384138906,35.6863927761,0.523241694564,5->6->3->2
5,3,0.747213816884,16.7961142422,0.23602198101,5->3
5,3,0.25278618312,23.7082798459,0.360288172127,5->6->3
5,4,0.999999999998,17.1625943159,0.238256590494,5->4
5,6,0.999999999997,10.7708533452,0.166785053746,5->6
5,7,1.00000000003,12.5083583165,0.178723344167,5->7
5,8,0.999999999998,26.4284884439,0.365903063966,5->7->8
6,1,0.550208447386,45.6413188042,0.639733350539,6->3->1
6,1,0.185958854986,47.750825645,0.671350618262,6->3->2->1
6,1,0.263832697627,60.1817011729,0.847045801495,6->5->3->1
6,2,0.999999999998,24.915539431,0.356456640818,6->3->2
6,3,0.999999999999,12.9374265007,0.193503118381,6->3
6,4,0.999999999998,27.8442889432,0.403050178822,6->5->4
6,5,0.999999999998,10.6816946273,0.164793588328,6->5
6,7,0.929571269086,16.5079170836,0.245841403063,6->7
6,7,0.0704287309801,23.1900529438,0.343516932495,6->5->7
6,8,0.710826974626,30.4280472109,0.433021122862,6->7->8
6,8,0.289173025372,37.1101830712,0.530696652294,6->5->7->8
7,1,0.353452565704,61.8352793031,0.860215105847,7->5->3->1
7,1,0.473841252204,61.9405603974,0.884672005514,7->6->3->1
7,1,0.172706182092,63.9447861439,0.891832373571,7->5->3->2->1
7,2,0.399861033012,41.1094999299,0.576938396127,7->5->3->2
7,2,0.311697890608,41.2147810242,0.601395295793,7->6->3->2
7,2,0.288441076378,48.0216655336,0.701204587244,7->5->6->3->2
7,3,0.323393618098,29.1313869996,0.41398487369,7->5->3
7,3,0.516624652969,29.236668094,0.438441773356,7->6->3
7,3,0.159981728945,36.0435526033,0.538251064807,7->5->6->3
7,4,0.390378264303,29.4978670733,0.416219483174,7->5->4
7,4,0.370018273926,38.2874421919,0.516781842625,7->8->4
7,4,0.239603461771,44.1435305364,0.647988833796,7->6->5->4
7,5,0.999999999999,12.3352727574,0.17796289268,7->5
7,6,0.852066533342,16.2992415933,0.244938654975,7->6
7,6,0.14793346669,23.1061261026,0.344747946426,7->5->6
7,8,0.999999999998,13.9201301273,0.187179719799,7->8
8,1,0.349388349976,76.0299323489,1.0527666366,8->7->5->3->1
8,1,0.355611478468,76.1352134432,1.07722353626,8->7->6->3->1
8,1,0.295000171553,78.1394391898,1.08438390432,8->7->5->3->2->1
8,2,0.375047727249,55.3041529757,0.769489926877,8->7->5->3->2
8,2,0.33265777761,55.4094340701,0.793946826543,8->7->6->3->2
8,2,0.292294495138,62.2163185794,0.893756117994,8->7->5->6->3->2
8,3,0.361281633859,43.3260400455,0.60653640444,8->7->5->3
8,3,0.388160893168,43.4313211398,0.630993304106,8->7->6->3
8,3,0.250557472971,50.2382056492,0.730802595557,8->7->5->6->3
8,4,1.00000000004,24.3673120645,0.329602122826,8->4
8,5,0.999999999998,26.5299258033,0.37051442343,8->7->5
8,6,0.680707371269,30.4938946391,0.437490185725,8->7->6
8,6,0.319292628728,37.3007791484,0.537299477176,8->7->5->6
8,7,0.999999999997,14.1946530458,0.19255153075,8->7
