Origin,Destination,probability,length (miles),free-flow travel time (hours),route
1,2,0.999999999993,21.4859224261,0.294838890801,1->2
1,3,0.136480880465,31.5632632216,0.431402978846,1->2->3
1,3,0.863519119613,32.0256277388,0.437602991391,1->3
1,4,0.537033725215,59.1205377245,0.807186433505,1->2->4
1,4,0.142967326794,64.9412933322,0.895837595177,1->2->3->5->4
1,4,0.319998948001,65.4036578495,0.902037607722,1->3->5->4
1,5,0.169076434701,47.7786990164,0.657581004684,1->2->3->5
1,5,0.729910936644,48.2410635336,0.663781017228,1->3->5
1,5,0.101012628665,55.1228639033,0.783974204077,1->2->3->6->5
1,6,0.205967119035,44.441169276,0.619180615749,1->2->3->6
1,6,0.632967897749,44.9035337933,0.625380628294,1->3->6
1,6,0.161064983218,58.5495523615,0.824366058429,1->2->3->5->6
1,7,0.197439274835,60.2870573329,0.836304348851,1->2->3->5->7
1,7,0.549577686316,60.7494218502,0.842504361395,1->3->5->7
1,7,0.252983038842,60.9490863596,0.865022018813,1->2->3->6->7
1,8,0.251248255067,74.2071874602,1.02348406865,1->2->3->5->7->8
1,8,0.453986062705,74.6695519775,1.02968408119,1->3->5->7->8
1,8,0.294765682217,74.8692164869,1.05220173861,1->2->3->6->7->8
2,1,1.0,22.835286214,0.314893977444,2->1
2,3,0.999999999994,10.0773407954,0.136564088046,2->3
2,4,0.857143049854,37.6346152983,0.512347542704,2->4
2,4,0.0820429728565,43.4553709061,0.600998704377,2->3->5->4
2,4,0.0608139774818,50.799535793,0.72739190377,2->3->6->5->4
2,5,0.590668792243,26.2927765902,0.362742113883,2->3->5
2,5,0.409331207747,33.6369414772,0.489135313277,2->3->6->5
2,6,0.999999999994,22.9552468499,0.324341724949,2->3->6
2,7,0.276253517197,38.8011349068,0.54146545805,2->3->5->7
2,7,0.47496802862,39.4631639335,0.570183128012,2->3->6->7
2,7,0.248778454172,46.1452997937,0.667858657444,2->3->6->5->7
2,8,0.568356271469,52.7212650341,0.728645177849,2->3->5->7->8
2,8,0.292363013312,53.3832940608,0.757362847811,2->3->6->7->8
2,8,0.13928071521,60.065429921,0.855038377243,2->3->6->5->7->8
3,1,0.784983872389,32.7038923034,0.446230232158,3->1
3,1,0.215016127655,34.8133991443,0.477847499881,3->2->1
3,2,0.99999999999,11.9781129302,0.162953522437,3->2
3,4,0.414872748653,33.3780301107,0.464434616331,3->5->4
3,4,0.176864618301,40.7221949976,0.590827815725,3->6->5->4
3,4,0.408262633048,49.6127282286,0.675301065141,3->2->4
