Origin,Destination,probability,length (miles),free-flow travel time (hours),route
1,2,0.999999999999,21.4859224261,0.294838890801,1->2
1,3,0.241144032786,31.5632632216,0.431402978846,1->2->3
1,3,0.758855967214,32.0256277388,0.437602991391,1->3
1,4,0.486181829227,59.1205377245,0.807186433505,1->2->4
1,4,0.158942346747,64.9412933322,0.895837595177,1->2->3->5->4
1,4,0.354875824026,65.4036578495,0.902037607722,1->3->5->4
1,5,0.211059004097,47.7786990164,0.657581004684,1->2->3->5
1,5,0.607853005984,48.2410635336,0.663781017228,1->3->5
1,5,0.181087989919,55.1228639033,0.783974204077,1->2->3->6->5
1,6,0.217624660104,44.441169276,0.619180615749,1->2->3->6
1,6,0.597916673338,44.9035337933,0.625380628294,1->3->6
1,6,0.184458666558,58.5495523615,0.824366058429,1->2->3->5->6
1,7,0.230521581191,60.2870573329,0.836304348851,1->2->3->5->7
1,7,0.411805690451,60.7494218502,0.842504361395,1->3->5->7
1,7,0.357672728357,60.9490863596,0.865022018813,1->2->3->6->7
1,8,0.326524777064,74.2071874602,1.02348406865,1->2->3->5->7->8
1,8,0.339399804612,74.6695519775,1.02968408119,1->3->5->7->8
1,8,0.334075418322,74.8692164869,1.05220173861,1->2->3->6->7->8
2,1,0.999999999999,22.835286214,0.314893977444,2->1
2,3,0.999999999999,10.0773407954,0.136564088046,2->3
2,4,0.827437785698,37.6346152983,0.512347542704,2->4
2,4,0.100409797462,43.4553709061,0.600998704377,2->3->5->4
2,4,0.0721524168526,50.799535793,0.72739190377,2->3->6->5->4
2,5,0.630045986394,26.2927765902,0.362742113883,2->3->5
2,5,0.369954013605,33.6369414772,0.489135313277,2->3->6->5
2,6,0.999999999999,22.9552468499,0.324341724949,2->3->6
2,7,0.3267876348,38.8011349068,0.54146545805,2->3->5->7
2,7,0.436097107639,39.4631639335,0.570183128012,2->3->6->7
2,7,0.23711525756,46.1452997937,0.667858657444,2->3->6->5->7
2,8,0.300752612085,52.7212650341,0.728645177849,2->3->5->7->8
2,8,0.45800968283,53.3832940608,0.757362847811,2->3->6->7->8
2,8,0.241237705084,60.065429921,0.855038377243,2->3->6->5->7->8
3,1,0.77413175629,32.7038923034,0.446230232158,3->1
3,1,0.225868243709,34.8133991443,0.477847499881,3->2->1
3,2,1.0,11.9781129302,0.162953522437,3->2
3,4,0.617738583613,33.3780301107,0.464434616331,3->5->4
3,4,0.237647488859,40.7221949976,0.590827815725,3->6->5->4
3,4,0.144613927529,49.6127282286,0.675301065141,3->2->4
3,5,0.837547848591,16.2154357948,0.226178025837,3->5
3,5,0.162452151425,23.5596006817,0.352571225231,3->6->5
3,6,1.0,12.8779060544,0.187777636903,3->6
3,7,0.184545335873,28.7237941113,0.404901370005,3->5->7
3,7,0.710151907085,29.385823138,0.433619039966,3->6->7
3,7,0.105302757051,36.0679589983,0.531294569398,3->6->5->7
3,8,0.276811060718,42.6439242387,0.592081089804,3->5->7->8
3,8,0.497684756994,43.3059532654,0.620798759765,3->6->7->8
3,8,0.225504182287,49.9880891256,0.718474289197,3->6->5->7->8
4,1,0.587004255957,61.5026974244,0.843329730196,4->2->1
4,1,0.281720352914,66.4372015781,0.915019634446,4->5->3->1
4,1,0.131275391129,68.546708419,0.94663690217,4->5->3->2->1
4,2,0.872668607798,38.6674112104,0.528435752752,4->2
4,2,0.0696246247141,45.711422205,0.631742924726,4->5->3->2
4,2,0.0577067674947,52.6235878087,0.756009115843,4->5->6->3->2
4,3,0.416100265377,33.7333092747,0.468789402289,4->5->3
4,3,0.246052957066,40.6454748784,0.593055593406,4->5->6->3
4,3,0.337846777557,48.7447520058,0.664999840797,4->2->3
4,5,0.999999999999,16.9371950325,0.232767421279,4->5
4,6,0.999999999999,27.7080483777,0.399552475025,4->5->6
4,7,0.417232019435,29.4455533491,0.411490765446,4->5->7
4,7,0.582767980564,38.6299676038,0.5225601354,4->8->7
4,8,1.0,24.4353145579,0.33000860465,4->8
5,1,0.560721636183,49.5000065456,0.682252213167,5->3->1
5,1,0.191300460749,51.6095133865,0.713869480891,5->3->2->1
5,1,0.247977903068,56.4121721493,0.806518404285,5->6->3->1
5,2,0.560433513112,28.7742271724,0.398975503447,5->3->2
5,2,0.439566486888,35.6863927761,0.523241694564,5->6->3->2
5,3,0.813907352217,16.7961142422,0.23602198101,5->3
5,3,0.186092647788,23.7082798459,0.360288172127,5->6->3
5,4,1.0,17.1625943159,0.238256590494,5->4
5,6,1.0,10.7708533452,0.166785053746,5->6
5,7,0.999999999999,12.5083583165,0.178723344167,5->7
5,8,1.0,26.4284884439,0.365903063966,5->7->8
6,1,0.41242382534,45.6413188042,0.639733350539,6->3->1
6,1,0.195951860644,47.750825645,0.671350618262,6->3->2->1
6,1,0.391624314015,60.1817011729,0.847045801495,6->5->3->1
6,2,1.0,24.915539431,0.356456640818,6->3->2
6,3,0.999999999999,12.9374265007,0.193503118381,6->3
6,4,0.999999999999,27.8442889432,0.403050178822,6->5->4
6,5,0.999999999999,10.6816946273,0.164793588328,6->5
6,7,0.933761554521,16.5079170836,0.245841403063,6->7
6,7,0.0662384455058,23.1900529438,0.343516932495,6->5->7
6,8,0.621460643451,30.4280472109,0.433021122862,6->7->8
6,8,0.378539356548,37.1101830712,0.530696652294,6->5->7->8
7,1,0.460160340119,61.8352793031,0.860215105847,7->5->3->1
7,1,0.335661813877,61.9405603974,0.884672005514,7->6->3->1
7,1,0.204177846003,63.9447861439,0.891832373571,7->5->3->2->1
7,2,0.325795393462,41.1094999299,0.576938396127,7->5->3->2
7,2,0.336709475821,41.2147810242,0.601395295793,7->6->3->2
